kind,id,board_index,position,stack,channel,detail,detector,enabled
rtd,T1,0,1,0,1,95.0-150.0ohm -10.0-80.0C step 2.0 5-bit,,
rtd,T2,1,2,0,2,95.0-150.0ohm -10.0-80.0C step 2.0 5-bit,,
rtd,T3,2,3,0,3,95.0-150.0ohm -10.0-80.0C step 2.0 5-bit,,
rtd,T4,3,4,0,4,95.0-150.0ohm -10.0-80.0C step 2.0 5-bit,,
rtd,T5,4,5,0,5,95.0-150.0ohm -10.0-80.0C step 2.0 5-bit,,
rtd,T6,5,6,0,6,95.0-150.0ohm -10.0-80.0C step 2.0 5-bit,,
rtd,T37,6,7,0,7,95.0-150.0ohm -10.0-80.0C step 2.0 5-bit,,
rtd,T38,7,8,0,8,95.0-150.0ohm -10.0-80.0C step 2.0 5-bit,,
rtd,T7,8,9,1,1,95.0-150.0ohm -10.0-80.0C step 2.0 5-bit,,
rtd,T8,9,10,1,2,95.0-150.0ohm -10.0-80.0C step 2.0 5-bit,,
rtd,T9,10,11,1,3,95.0-150.0ohm -10.0-80.0C step 2.0 5-bit,,
rtd,T10,11,12,1,4,95.0-150.0ohm -10.0-80.0C step 2.0 5-bit,,
rtd,T11,12,13,1,5,95.0-150.0ohm -10.0-80.0C step 2.0 5-bit,,
rtd,T12,13,14,1,6,95.0-150.0ohm -10.0-80.0C step 2.0 5-bit,,
rtd,T39,14,15,1,7,95.0-150.0ohm -10.0-80.0C step 2.0 5-bit,,
rtd,T40,15,16,1,8,95.0-150.0ohm -10.0-80.0C step 2.0 5-bit,,
rtd,T13,16,17,2,1,95.0-150.0ohm -10.0-80.0C step 2.0 5-bit,,
rtd,T14,17,18,2,2,95.0-150.0ohm -10.0-80.0C step 2.0 5-bit,,
rtd,T15,18,19,2,3,95.0-150.0ohm -10.0-80.0C step 2.0 5-bit,,
rtd,T16,19,20,2,4,95.0-150.0ohm -10.0-80.0C step 2.0 5-bit,,
rtd,T17,20,21,2,5,95.0-150.0ohm -10.0-80.0C step 2.0 5-bit,,
rtd,T18,21,22,2,6,95.0-150.0ohm -10.0-80.0C step 2.0 5-bit,,
rtd,T19,22,23,2,7,95.0-150.0ohm -10.0-80.0C step 2.0 5-bit,,
rtd,T20,23,24,2,8,95.0-150.0ohm -10.0-80.0C step 2.0 5-bit,,
rtd,T21,24,25,3,1,95.0-150.0ohm -10.0-80.0C step 2.0 5-bit,,
rtd,T22,25,26,3,2,95.0-150.0ohm -10.0-80.0C step 2.0 5-bit,,
rtd,T23,26,27,3,3,95.0-150.0ohm -10.0-80.0C step 2.0 5-bit,,
rtd,T24,27,28,3,4,95.0-150.0ohm -10.0-80.0C step 2.0 5-bit,,
rtd,T25,28,29,3,5,95.0-150.0ohm -10.0-80.0C step 2.0 5-bit,,
rtd,T26,29,30,3,6,95.0-150.0ohm -10.0-80.0C step 2.0 5-bit,,
rtd,T27,30,31,3,7,95.0-150.0ohm -10.0-80.0C step 2.0 5-bit,,
rtd,T28,31,32,3,8,95.0-150.0ohm -10.0-80.0C step 2.0 5-bit,,
rtd,T29,32,33,4,1,95.0-150.0ohm -10.0-80.0C step 2.0 5-bit,,
rtd,T30,33,34,4,2,95.0-150.0ohm -10.0-80.0C step 2.0 5-bit,,
rtd,T31,34,35,4,3,95.0-150.0ohm -10.0-80.0C step 2.0 5-bit,,
rtd,T32,35,36,4,4,95.0-150.0ohm -10.0-80.0C step 2.0 5-bit,,
rtd,T33,36,37,4,5,95.0-150.0ohm -10.0-80.0C step 2.0 5-bit,,
rtd,T34,37,38,4,6,95.0-150.0ohm -10.0-80.0C step 2.0 5-bit,,
rtd,T35,38,39,4,7,95.0-150.0ohm -10.0-80.0C step 2.0 5-bit,,
rtd,T36,39,40,4,8,95.0-150.0ohm -10.0-80.0C step 2.0 5-bit,,
rtd,T37C,40,41,5,1,95.0-150.0ohm -10.0-80.0C step 2.0 5-bit,,
rtd,T38C,41,42,5,2,95.0-150.0ohm -10.0-80.0C step 2.0 5-bit,,
rtd,T39C,42,43,5,3,95.0-150.0ohm -10.0-80.0C step 2.0 5-bit,,
rtd,T40C,43,44,5,4,95.0-150.0ohm -10.0-80.0C step 2.0 5-bit,,
cv,CV1,,,,,in stack 0 ch 1 / out stack 0 ch 1,0x21:3,no
cv,CV2,,,,,in stack 0 ch 2 / out stack 0 ch 2,0x21:4,no
cv,CV3,,,,,in stack 0 ch 3 / out stack 0 ch 3,0x22:1,no
cv,CV4,,,,,in stack 0 ch 4 / out stack 0 ch 4,0x22:2,no
cv,CV5,,,,,in stack 0 ch 5 / out stack 0 ch 5,0x22:3,no
cv,CV6,,,,,in stack 0 ch 6 / out stack 0 ch 6,0x22:4,no
cv,CV7,,,,,in stack 0 ch 7 / out stack 0 ch 7,0x23:7,yes
